Site and visit,Major Vegetation Group,Latitude,Longitude,Precipitation Seasonality,MAP,MAT,Mean Maximum Temperature Warmest Month,PerSoilP,PerSoilN,Soil Depth,perSoil WHC ,perSand,Topographic relief,Species richness_vouchers,Species richness_intercepts,Pareto alpha,Lognorm sigma,Delta AIC,Simpson,Shannon
NSABHC0001-53596,"Chenopod Shrublands, Samphire Shrublands and Forblands",-31.89335056,141.4337544,17,268,17.4,32.4,0.014,0.049,0.9,12.6,70.8,48.6,64,29,0.731579098,-0.946618866,-22.16186746,0.883675331,2.574590422
NSABHC0002-53597,"Chenopod Shrublands, Samphire Shrublands and Forblands",-31.92702694,141.4329608,18,272,17.3,32.3,0.016,0.05,0.8,12,64.1,24.6,72,26,0.641620218,-0.753981034,-18.26231763,0.890832814,2.528885457
NSABHC0003-53598,"Chenopod Shrublands, Samphire Shrublands and Forblands",-31.82872083,141.4340336,16,257,17.6,32.7,0.016,0.043,0.9,12.2,65.5,34,67,22,0.863746971,-1.164641286,-28.41532805,0.72216213,1.80071881
NSABHC0004-53599,"Chenopod Shrublands, Samphire Shrublands and Forblands",-31.84727889,141.9480675,18,231,18.3,33.4,0.035,0.054,1.1,14,59.7,5,104,41,0.734795652,-0.951612834,-29.81089871,0.91936269,2.948923091
NSABHC0005-53600,Tussock Grasslands,-31.84495778,141.9404978,18,231,18.3,33.4,0.029,0.049,1.1,14,58.8,8,62,23,0.733792945,-0.949753176,-28.11946666,0.672316312,1.616280664
NSABHC0006-53601,Tussock Grasslands,-31.88420833,141.7823089,16,240,17.9,33.1,0.026,0.057,1,13.5,61.1,18.2,65,28,0.586990337,-0.608929859,-18.22468098,0.807135611,2.236511012
NSABHC0007-53602,"Chenopod Shrublands, Samphire Shrublands and Forblands",-31.90113361,141.7644319,16,240,17.9,33.1,0.027,0.059,1.1,13.2,63.1,22.7,100,37,0.751932473,-0.982628743,-31.49316436,0.848157649,2.463294435
NSABHC0008-53603,"Chenopod Shrublands, Samphire Shrublands and Forblands",-31.88592167,141.52881,17,253,17.7,32.7,0.02,0.057,1,12.6,69.7,20.8,89,36,0.76952346,-1.022882156,-34.56333898,0.914123049,2.81499917
NSABHC0009-53604,"Chenopod Shrublands, Samphire Shrublands and Forblands",-31.08023472,141.6973686,21,223,18.7,34,0.033,0.05,1,12.4,62.3,43.8,104,38,0.651818421,-0.77836583,-22.12876773,0.90436989,2.843073957
NSABHC0010-53605,"Chenopod Shrublands, Samphire Shrublands and Forblands",-31.07671806,141.7003097,21,223,18.7,34,0.031,0.047,1,11.6,65.8,40.6,67,18,0.711949644,-0.908931316,-10.03437975,0.853559054,2.236901406
